Model,RMSE,MAE,R²
Linear Regression,976739.2731838394,572359.9440110159,0.7840107107528487
Ridge Regression,972645.3948344123,574575.1614916289,0.7858174995701094
Lasso Regression,976733.6210198072,572358.0027096051,0.784013210505635
Elastic Net,1096776.9391972695,651333.8715362076,0.7276599358683744
Random Forest,496138.8338092551,244469.74017555712,0.9442709862188505
Gradient Boosting,508154.34912180743,231764.69558219012,0.9415390042381199
XGBoost,550696.6325673963,245669.23174252716,0.9313406391520024
LightGBM,604194.6972007147,280779.8073355989,0.917352688013323
CatBoost,414333.0988772436,208987.96077591358,0.9611336129819485
KNN Regressor,654552.0316269866,320623.9048913043,0.9030018916140798
SVR,2310353.630488584,1268283.5407322752,-0.2084587584982016
