Model,RMSE,MAE,R²
Linear Regression,976739.2731838394,572359.9440110159,0.7840107107528487
Ridge Regression,972645.3948344123,574575.1614916289,0.7858174995701094
Lasso Regression,976725.07161513,572351.0175043213,0.7840169915782776
Elastic Net,1212411.511614416,691711.2959878334,0.6672063606408577
Random Forest,497590.72980825393,244230.8422807971,0.9439443392493216
Gradient Boosting,516620.3189550344,245088.07487991694,0.939574829991291
XGBoost,511870.5416242044,245187.73390794836,0.9406808133739922
LightGBM,605875.7925899979,284540.0123767184,0.916892136788705
CatBoost,420839.37249190215,208912.68883465425,0.9599033912104573
KNN Regressor,654552.0316269866,320623.9048913043,0.9030018916140798
SVR,2310353.630488584,1268283.5407322752,-0.2084587584982016
